Name,Stars,Short Comments,DatedText,Reviews,Helpfull
Balu K B,5.0 out of 5 stars,Super Face wash with affordable price,13 October 2016,super.. and good price. very low price compared with the current market. the very latest product was delivered. I bought this item 4 times for me and my friends and families.,2 people found this helpful
IMMADISETTY SRINIVASA RAO ADVOCATE,1.0 out of 5 stars,damaged item supply,12 August 2018,i am shocking for item is damaged and liquid dropwastage of moneyi though your executive intentionally packing this item in damaged conditionit is very irresponsibility work so tack action against himi was return the same immediatelythis last is last and final warning,One person found this helpful
moukthika reddy,4.0 out of 5 stars,Great one..!!,9 July 2018,I don't say that it did miracles but it surely made a difference. My forehead pimples are all gone which were really stubborn.And frequency of pimples also reduced.i would say it's must buy face wash...!!,Helpful
Niyas,5.0 out of 5 stars,Wonder,25 July 2017,Its really works like magic..pimples go away if you use twice a day continuously 5 to 10 days....,3 people found this helpful
Sona,5.0 out of 5 stars,Face cleaning purpose face wash n givs brighten look,1 May 2018,Himalaya herbals purifying neem face wash is helpful for all skin types.i have been using it for 5 years n I have dry skin.dis face wash doesn't give 1 whiten look bt it givs d brighten look.If any1 wants jst 2 clean 1's face den dis face wash is for her.,One person found this helpful
Aakash,5.0 out of 5 stars,Nice n gentle.,12 April 2018,Nice n gentle. i have combined skin - worked well for me. i loved the product. Have used it for 6 mths now.. will not switch to any other product. It's Free of harmful chemicals.,Helpful
syed imran ali,5.0 out of 5 stars,i found that himalaya neem face wash is the best. It ACTUALLY prevents pimples,17 October 2016,I have been using this product since years and whenever i tried to change my facewash i found that himalaya neem face wash is the best. It ACTUALLY prevents pimples. Just go for it!!,2 people found this helpful
Kunal Tadas,5.0 out of 5 stars,Best facewash for all skin types,13 August 2017,It is one of the best facewash available on Amazon and that I got on discounted price for better results use it for atleast 6 months continuously it has nice results with acne free face,One person found this helpful
ReshmaTOP 1000 REVIEWER,3.0 out of 5 stars,Product is good,25 July 2018,I got 20 ml less else otherwise this product is good i am using it since 4 years.. I got 280 ml in 197Rs. Bottle is filled as shown in picture. Not sealed.,Helpful
Yourhelper,5.0 out of 5 stars,A FaceWash That Really Works,19 August 2017,Value For Money YESMRP. 230Rs On ProductYour Question ? It Really Help With Pimples?Answer. Honestly I use it Several Times It helps me Alot to Remove Pimples Plus You Will Get A Refreshing Feel After Using ItUse 2 Times For Best Result[??],One person found this helpful
Nishank,2.0 out of 5 stars,No Positive Effects,17 June 2018,I ordered Himalaya Neen Face Wash 200ml bottle. I didn’t like it as it didn’t show any effects. Also the bottle had more of water and less of Facewash.,Helpful
Salim M.S,4.0 out of 5 stars,Feel the freshness... !,7 August 2018,I think it is the best Face Wash available in the market. It gives real freshness on the face. I am very much satisfied with this product.,Helpful
Krishna,5.0 out of 5 stars,If you've oily face all the day; Don't think twice just go for it !!!,8 October 2017,Love to use Himalaya items as it's really effective for oily skin (if you keep using it regularly and don't switch to any other brand face wash). Worth price and easy on pockets !!!,Helpful
Roshni Rajesh,4.0 out of 5 stars,Satisfied. The only problem is that as it comes ...,17 July 2017,I have been usimg this for 4 years. No complaints. Satisfied. The only problem is that as it comes in contact with air that part solidifies and it becomes difficult to push the button to squeeze it out.,One person found this helpful
Rituparna,4.0 out of 5 stars,Good product,4 September 2017,I use dis for 9 yrs now!!! It does not reduce pimple but clean my face softly and i use 3 times a day...... i love it,One person found this helpful
Amazon Customer,3.0 out of 5 stars,For normal daily use only,6 November 2017,After two months used this product are not properly clean your skin.For normal use is ok,One person found this helpful
Rahul,4.0 out of 5 stars,Cleanses gently without drying the skin,5 October 2018,A good face wash which gently cleanses & purifies skin without drying giving an all day fresh look.Benefits:1. Has goodness of Neem-which is known for its anti- bacterial properties2. Gently cleanses skin without drying3. Mild fragrance4. Ideal for normal to dry skin5. Easy to use pump bottle,One person found this helpful
Amazon Customer,4.0 out of 5 stars,Nice product,15 July 2018,Nice product. Nice sweet aroma and good cleansing. Require less than a peanut size amount to clean our face.. can cause dryness if used in excess. I think it will be better for those with oily skin and good for normal skin. Those with dry skin should consider another option,Helpful
Venkatesh Deo,5.0 out of 5 stars,Always a gud one,26 March 2018,I have been using this for years still the best one for all facial unwanted things.. 200ml is so gud and long time usable and can save more money.,Helpful
Shivsati,4.0 out of 5 stars,Good product off acne problem,16 March 2018,Himalaya is maintained their name. Good product off acne problem,One person found this helpful
Ajith,5.0 out of 5 stars,Very good product,16 October 2017,A very good product from Himalaya. Ever since we bought the first one we have only used this product as face-wash.,One person found this helpful
Vishnu VP,1.0 out of 5 stars,Not good as other products from Himalaya.,13 June 2018,Neem facewash is much less effective than other products.,2 people found this helpful
Amazon Customer,4.0 out of 5 stars,I think it would be better to go for small one,23 February 2018,It is too thick to come out while pressing.I think it would be better to go for small one.sometimes it doesn't come out while pressing so i used to open it and take it out.apart from that it's fine.,Helpful
Rimam Ghosh,5.0 out of 5 stars,Good product...,25 September 2018,Quick delivery and the main thing is this product's manufacturing date is very current. So I can use it for a long time...,Helpful
Kaz,5.0 out of 5 stars,Product fullfill it's description,4 October 2018,Best facewash in the market. Using it for last 6 year and never think of shifting to any other facewash because this one never disappointed me.,Helpful
Pawan Singh,1.0 out of 5 stars,Dont buy,23 August 2017,I received expired item,3 people found this helpful
Rima,4.0 out of 5 stars,Good face wash.,11 September 2018,Good face wash. My all time favourite. Though I feel Himalaya has decreased its quality than before.,Helpful
AWANEESH,5.0 out of 5 stars,WORKS FINE...VALUE FOR MONEY...,11 October 2016,WORKS FINE...REMOVES DIRT FROM FACE & IF U BUY THIS CONTAINER WITH DISPENSER....U GER THIS FACE WAS CHEAPER...COMPARED TO SMALLER TUBES OF SAME FACE WASH...,One person found this helpful
Sreya,5.0 out of 5 stars,Himalaya alwys best,11 May 2017,Big bottle perfect for sensitive skin..... Get it in 160 nice deal in amazon ..bt late delivery so little disappointed,One person found this helpful
mitika,3.0 out of 5 stars,Nice!!!,12 September 2016,I am using Himalaya face wash from past so many years. It's a foaming face wash gentle on face and easy on pocket. However I don't find it effective for preventing pimples (as per. Company claims).,One person found this helpful
arz,5.0 out of 5 stars,good product,26 September 2018,Only problem is that it's slimy which means you can't use it as a handwash if you want to.,Helpful
Rajiv Dalal,3.0 out of 5 stars,not so good,16 August 2018,just ok product,One person found this helpful
Amazon Customer,4.0 out of 5 stars,Good,10 July 2017,Good product,2 people found this helpful
Kavi Smile,5.0 out of 5 stars,Anti Bacterial,20 October 2016,Perfect anti bacterial face wash. It's thick and good to use compared to other face wash.,2 people found this helpful
Abhilash Nanda,5.0 out of 5 stars,Good face wash from Himalaya,15 June 2018,Good face wash from Himalaya. We are using since years. really working to remove pimples too.,Helpful
Amazon Customer,5.0 out of 5 stars,Absolutely love this product,13 January 2017,Absolutely love this product! I have been using this wonderful Ayurvedic and natural neem face wash for the past 5 years and it has never failed me. I don't intend to stop using this product any time in the future. Definitely recommend it to people with dry skin or skin that's prone to break outs as it is very gentle on your skin and has healing properties.,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,27 July 2018,Love it,One person found this helpful
Aakash Kumbhat,5.0 out of 5 stars,Five Stars,10 August 2017,Got this at very good price than market. This face wash is natural n good.,One person found this helpful
guru,5.0 out of 5 stars,Nice,18 October 2017,l use this one for many years just because this doen;t have any side effects.and price was less than local shop price,Helpful
Amazon Customer,5.0 out of 5 stars,Better value!,22 October 2018,Bought 2 of these. 220 total. Good price. Never saw it in this size so I was sceptical. But it is same as the ones you would purchase in the market. Used for a week now. Good product overall,Helpful
Dr. J GeorgeTOP 1000 REVIEWER,4.0 out of 5 stars,Good,26 July 2017,It's good.. doesn't do great wonders or anything but it's fine.,2 people found this helpful
Mamita Das,4.0 out of 5 stars,Excellent,8 July 2018,Good product. As expected. Amazon services are good but price is complicated. Can be more cheap. I wish find more attractive deal next time.,Helpful
jha Sahab,4.0 out of 5 stars,ok,11 February 2017,good for oily face not with dry or normal one,2 people found this helpful
Vidhyotama,5.0 out of 5 stars,Bestest face wash...for acne prone skin n oily skin,3 April 2018,I think this is the best Himalaya product ever...from whenever I'm using it it's the best face wash in market,Helpful
Amazon Customer,5.0 out of 5 stars,Gud....excellent product for acne prone skin,22 October 2017,I doubtedly bought it for my sisterher face is very acne prone...but wat a excellent result after 1 week's use itself...now she is using for past 3 monthsall her acne and acne marks had vanished...,Helpful
Malathi,1.0 out of 5 stars,Causing skin allergies. Waste of money. Fake product,21 September 2018,Please don't supply fake products.. It's damaging the brand name of both Flipkart and Himalaya..I know himalaya face wash is really good for everyone. But this is not a real one. Please avoid these kind of products.,2 people found this helpful
Fathima,5.0 out of 5 stars,Best,5 May 2018,Buy 300 ML which lasts for maximum 7 months and money saver. The best face wash ever. Keeps my face oil free and snooth.,Helpful
Vishnu Wankhede,5.0 out of 5 stars,Perfect..!!,27 June 2018,I loved it..!Showing good results on me.My skin type is oily and I am using it 2 to 3 times a day and it suits me.It is better than Acno fight face wash by garnier.,Helpful
Amazon Customer,4.0 out of 5 stars,Awesome product!!,14 October 2016,Very good product for acne prone skin and subtle enough for daily use without drying out the skin. I have a very sensitive skin and this suits me the best!,One person found this helpful
PriyaDdharshini,1.0 out of 5 stars,Fase wash is good. But the package,13 January 2016,Fase wash is good. But the package the worst. Half of the face wash has been already spilled when It arrived.,5 people found this helpful
Narender Chopra,4.0 out of 5 stars,V good,13 April 2017,V good,2 people found this helpful
Prashant kumar singh,5.0 out of 5 stars,Good for men too,4 November 2017,I am 20 y.o men using this face wash since 2 years.Its good product for me does not give me a very white face like make up.just naturally clean and shine my face,Helpful
Amazon Customer,4.0 out of 5 stars,Great and value purchase only offered by amazing Amazon...?????,21 September 2018,Great and value purchase only offered by amazing Amazon...?????But damaged due to mis handle modal tip of bottle broke off.,Helpful
Gabriel,5.0 out of 5 stars,Effective..,10 June 2016,Awesome face wash. I'm using it everyday and I will say it is awesome. Reduced my pimples after 3 days. But only thing i dont like is needed more amount.Recommended.,Helpful
Madhurav Sah,4.0 out of 5 stars,Value for money,19 July 2018,This is truly a great product by Himalaya at this price point.,Helpful
Fidaallys,5.0 out of 5 stars,AWESOME FACE WASH,7 February 2018,I use it regularly. Face blackens while riding two wheeler in Chennai's pollution. Himalaya Neem face wash cleanses my skin and restores the fairness. Cannot use soap anymore. Priced right and packing is very good. Proud to use an Indian Brand.,Helpful
Damanpreet Sidhu,5.0 out of 5 stars,Perfect,11 September 2018,The best face wash available. Takes away the pimplesacne and oily skin. Great product,Helpful
shubham,4.0 out of 5 stars,would highly recommend anyone who like mild,10 July 2018,nothing fancy a simple daily usable face wash. would highly recommend anyone who like mild wash,Helpful
Vijay Mewara,5.0 out of 5 stars,Nice Product I have received ?????,19 July 2018,Superb product with recent manufacturing date.Is subscribed this product within every 2 months.,One person found this helpful
Varun Shukla,5.0 out of 5 stars,Trustworthy,29 July 2017,Himalaya is extremely trusted brand...,One person found this helpful
UmeshTechYT,5.0 out of 5 stars,Just get one..,14 November 2017,Cheapest you can find.,One person found this helpful
Aniket kolap,4.0 out of 5 stars,Four Stars,31 January 2018,very nice  I bought it in the Amazon deal at best price and best face wash at this price.. Amazed,Helpful
Amazon Customer,4.0 out of 5 stars,Very Nice product,29 November 2016,Good product with pleasant herbal smell... Makes by skin so soft and suppleI have dry skin and using from 2 months and it working really nicely.,Helpful
Himit Bhayani,5.0 out of 5 stars,Amazing product.,14 October 2018,I have been using this product since a long time. It has one of the best quality among facewashes and yet being the cheapest in the market which is why I buy it every time.,Helpful
Banerjee,5.0 out of 5 stars,Good product,18 July 2018,Good for pimple prone skin. Wish had a better discount,Helpful
anand,5.0 out of 5 stars,Very good facewash,28 June 2017,Very good facewash and bought at 184 Rs for 300ml mrp was 240 so very good price for very good facewash,Helpful
Amitabh Shahi,3.0 out of 5 stars,Not so good..,13 October 2017,Not so good...the tip of the bottle came out as I removed the lamination...quality of the face wash is of so so type,Helpful
Amey,5.0 out of 5 stars,Must buy it...,4 June 2018,I am using it from last 2 years and I am very happy to buy it from amazon.Delivery was also very quick as expected.,Helpful
RAJ R.,5.0 out of 5 stars,Excellent,9 June 2018,Excellent product. Service of Amazon also very good,Helpful
Amazon Customer,5.0 out of 5 stars,Very good product,21 January 2018,Very good product i have been using this from a long time and it provides a very great results.,Helpful
Amazon Customer,5.0 out of 5 stars,safe one to use on face,2 March 2018,started using this..after i switched to many washes...but non stays good...so again came to tiz...bought big one for long use,Helpful
QSLLP,4.0 out of 5 stars,Good but the may cause waste of face wash while trying to dispense a little,16 April 2018,The face wash is good as you all know and the bottle looks great - but the dispensing hole is too big. It dispenses too much of face wash when we press it even a little.,Helpful
Kriti Shetty,5.0 out of 5 stars,... face wash from past 4 years and its the best for pimple free skin,23 August 2015,I have been using this face wash from past 4 years and its the best for pimple free skin And thanks to amazon for selling these personal care essentials at reduced price,Helpful
nilesh,2.0 out of 5 stars,Not a good choice,22 October 2018,Price is lower compare to other brand facewash but also quality is not jt good,Helpful
Aishwarya Gupta,5.0 out of 5 stars,Value for money,29 September 2016,Amazing product pump applicator makes it super easy to use  removes extra oil makes skin fresh a single bottle lasted for 4 months,One person found this helpful
Anu @ naf,5.0 out of 5 stars,Nice product ..,26 June 2018,Excellent product ..nice deal and bottle is perfectly designed..using this for past few years..nice one..good for all type of skins..,Helpful
Ashwini Udupi,5.0 out of 5 stars,Five Stars,24 March 2016,It really good for cleaning oily face. however use a toner in addition to it for further effect,One person found this helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,10 October 2016,A good stuff to keep at your family washbasin. really good,2 people found this helpful
Sunil kumar,5.0 out of 5 stars,Good deal,27 March 2018,Nice face wash. And I buy large size in regible price,Helpful
Verified customer,5.0 out of 5 stars,Five Stars,12 March 2018,My favourite facewash...make skin smooth n supple,Helpful
preetiranibiyani,4.0 out of 5 stars,Very much satisfied as I got the discount on face wash n ...,18 October 2015,Very much satisfied as I got the discount on face wash n also got the face pack pouch with it. This is called as"Aam toh aam aur guthliyo ke dam". Gr8!!!,Helpful
akanksha gupta,5.0 out of 5 stars,Nice,28 May 2018,Herbal and no harmful effect clean the skin properly.,Helpful
priyanka,5.0 out of 5 stars,grab it,20 April 2016,Wow..it ends in around 3 month in family of 4..its so thick dat one will use only a lil ammount of it at a time..smell is outstanding too,Helpful
sana,5.0 out of 5 stars,Best face wash,28 July 2018,Good packaging and best price,Helpful
PRINCE JINDAL,1.0 out of 5 stars,Product is not good.,23 May 2018,The product make pimples on face....It also make eaching after 2-3 hours....,2 people found this helpful
AK,5.0 out of 5 stars,Good for Skin care,1 October 2018,Can't switch to another product. Best face wash ever. No side effects. Mild and effective.,Helpful
Priyadarshini Dey Roy,5.0 out of 5 stars,Five Stars,21 March 2018,I love this facewash. It helps to reduce my acne problem & makes my skin smooth. I love it,Helpful
NITIN KUMAR,5.0 out of 5 stars,Five Stars,14 March 2018,delivery on time also good product quality,Helpful
Gurmat,4.0 out of 5 stars,Flaw in bottle design,2 December 2016,Got it for just rs 120. Face wash itself is satisfactory but the bottle design needs improvement. The Pump is hard to press.,Helpful
Jasenborn,5.0 out of 5 stars,Five Stars,18 April 2018,Good product great deal from Aamzon,Helpful
ankit kumar,5.0 out of 5 stars,Nice Good,26 May 2018,Himalaya neem face wash always good,Helpful
Amazon Customer,5.0 out of 5 stars,Nice face wash,15 July 2018,One of the best face wash??. Gently cleanses the face without making it much dry.Everyone should try this.Worth it ??,Helpful
Kim Mammen,5.0 out of 5 stars,Five Stars,16 September 2018,Good quality product.,Helpful
N Sinha,4.0 out of 5 stars,leaves face squeaky clean but slightly on the dry side ...,9 March 2016,leaves face squeaky clean but slightly on the dry side. Nothing a moisturiser can't handle!! Freshness is definitely the keyword here.,Helpful
Varun,5.0 out of 5 stars,Best neem face wash,25 June 2018,Perfect for all type skin.,Helpful
Khushboo,2.0 out of 5 stars,Facewash became thick in few days,12 July 2018,Did not like it. It got dried up,Helpful
Manasjyoti,4.0 out of 5 stars,everything good.,29 July 2018,good price good deal good product delivered on time.,Helpful
Amazon Customer,5.0 out of 5 stars,Great stuff,29 January 2018,This is a great face wash. Cleanses very very well and it's not even too harsh on the skin. The pump becomes very convinient. Great product.,Helpful
shruthi,5.0 out of 5 stars,its awesome..,7 December 2016,its awesome... its easy to get the gel out of tube in this type of case... and face wash is effective also...,Helpful
Madhumita ?,5.0 out of 5 stars,??,17 June 2018,My Fev facewash ever...,Helpful
Apm,4.0 out of 5 stars,Good,23 June 2018,GoodHimalaya products are good,Helpful
Javed ansari,3.0 out of 5 stars,Not satisfied,17 May 2018,I Think this duplicate product.. i m not satisfy with this product,Helpful
Yogesh,5.0 out of 5 stars,Nice!!,17 August 2018,came as expected. Nice one on face.,Helpful
R.K. Chaudahry Amazon Customer,5.0 out of 5 stars,Better One Go For It...,28 October 2017,Good deal I got it in Rs. 184/- Packing was good Thanks,One person found this helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,12 July 2018,Blessing for pimple and oily skin. Use daily and see the miracle,Helpful
Shikha kumari,2.0 out of 5 stars,Duplicate product,1 June 2018,Cloudtail india I am sorry but your cosmetics are just of poor quality it seems like artificial  paise ki barbaadi,Helpful
M007,2.0 out of 5 stars,Two Stars,14 August 2017,Not very comfortable the package. Facewash is meh.,One person found this helpful
Rahul Kulmi,4.0 out of 5 stars,Four Stars,12 September 2018,Good product for face wash,Helpful
Dr. R.,2.0 out of 5 stars,Two Stars,15 February 2017,Not that good as it was expected,One person found this helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,10 August 2017,This face wash is absolutely awesome.,One person found this helpful
Maveen,5.0 out of 5 stars,Must try,7 September 2018,It actually prevent pimples. Ppl suffering from acne should give a try. Packaging was good,Helpful
Mit,5.0 out of 5 stars,Beautiful,6 June 2018,Superb awesome,Helpful
PRABIR KUMAR BHAR,4.0 out of 5 stars,Four Stars,17 November 2017,Good according to brand name as expected.,Helpful
Ashu,5.0 out of 5 stars,perfect choice,22 January 2017,love that economical compare to local market at the time purchase Ma'am likes a lot,Helpful
sai charan,4.0 out of 5 stars,Good Product from Himalaya,9 August 2018,Keeps you fresh.,One person found this helpful
Manish,2.0 out of 5 stars,Not as good as squeeze pack,13 August 2015,Its very thin Not as good as squeeze pack. I use both considerable difference between two.You need a lot of face wash to wash effectively.,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,14 June 2018,As expected.,Helpful
Annpurna,4.0 out of 5 stars,Good face wash for acne prone skin.,5 October 2018,Worth for money. It keeps skin subtle and soft. Very good product from himalya. Thanks amazon for giving original product.,Helpful
Chaitanya,5.0 out of 5 stars,Clean face again!,4 July 2016,I had acne problem for over a year had tried many products and with no result. Finally I chose himalayas neem face wash and my face is acne free now.Very good product and I recommended everyone to use it daily,One person found this helpful
Darshan,1.0 out of 5 stars,One Star,17 June 2018,Bad product,Helpful
Gaurang Mathur,1.0 out of 5 stars,Leaking bottle received,19 September 2018,Bottle is broken and delivery boy forced to receive the product,Helpful
shahid373,5.0 out of 5 stars,good,15 August 2018,good,Helpful
Bansal Ji ?,4.0 out of 5 stars,Good,24 August 2018,Good,Helpful
Master Asghar,5.0 out of 5 stars,Fine for face.,12 July 2018,Good and effective substitute of soap from Himalaya' Gift,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,20 September 2018,good product,Helpful
Amazon Customer,2.0 out of 5 stars,No Lather,4 March 2018,The face wash doesn't create any foam. Hence you will need lot of this while applying it to face each day.,Helpful
Reema,5.0 out of 5 stars,Five Stars,13 April 2018,Love Himalayan and amazon too,Helpful
Ayan,5.0 out of 5 stars,It's better than the tube.,26 October 2015,As always it's too good for me and my wife. We just love it.The pump is an added advantage for a measured drop of face wash.,Helpful
Srin,5.0 out of 5 stars,Helps to prevent pimple,3 October 2018,One of the best face wash i have used till date.,Helpful
Swayam yadav,3.0 out of 5 stars,That's a not good product not bad product BT that's a OK product ...,24 January 2017,That's a not good product not bad product BT that's a OK product because that's a price have depend for this product,Helpful
Pradip Roy,4.0 out of 5 stars,Four Stars,25 June 2018,Thanks....,Helpful
Neetu agarwal,5.0 out of 5 stars,Good,18 July 2017,Nice fragrance soft to skin& very good for oily skin,Helpful
CHEENEE JANE MAKASIAR,5.0 out of 5 stars,Very nice product,2 August 2018,Like this lne vert much. Many time using it.,One person found this helpful
arunkotia,5.0 out of 5 stars,Five Stars,25 January 2018,Good....cheaper than market cost,Helpful
BIKASH MUDULI,4.0 out of 5 stars,Good result,22 January 2017,Very good product. Go for it. Good price.. It is safer than patanjali face wash.. Very effective. It's my experience.,One person found this helpful
lalit kumar,5.0 out of 5 stars,Five Stars,8 July 2018,nice product.,Helpful
Anupama M.,3.0 out of 5 stars,Three Stars,17 August 2018,its good.,Helpful
Vishnu P T,5.0 out of 5 stars,Very Good,9 June 2018,It is very refreshing and makes the face clean.,Helpful
Amazon Customer,5.0 out of 5 stars,nice Product,23 October 2018,good,Helpful
deepak patil,5.0 out of 5 stars,Good,24 August 2018,Good product very sumth and soft skin.,Helpful
Amazon Customer,1.0 out of 5 stars,Not happy,21 September 2018,Not happy ...pump was broken,Helpful
SAMIR,5.0 out of 5 stars,Five Stars,18 May 2018,good deal.,Helpful
pankaj roy,4.0 out of 5 stars,Four Stars,7 August 2017,Like it,One person found this helpful
Gouri Shankar Padhi,5.0 out of 5 stars,Happy,26 August 2018,Good,Helpful
pennrasi,5.0 out of 5 stars,nice product,27 June 2018,Feel fresh,Helpful
TUSHAR OZA,5.0 out of 5 stars,Nice bottle with Good Clean up.. ?,17 October 2018,Good Quality.,Helpful
Dipil James,5.0 out of 5 stars,Himalay products are too good.,11 August 2017,Loved it as usual. The price and effectiveness.,Helpful
Pragnya,5.0 out of 5 stars,it is a great choice for slightly oily skin with arousing pimples,15 March 2016,Himalaya Neem Facewash always satisfies me.. it is a great choice for slightly oily skin with arousing pimples. And after using it face feels so fresh. And I do guaranty that this product is worth a trial.?,One person found this helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,25 October 2018,received in a good condition.,Helpful
nitin kumar jain,5.0 out of 5 stars,Excellent,30 September 2018,Very good,Helpful
suma,4.0 out of 5 stars,Value for money,22 July 2018,Value for money,Helpful
U K,5.0 out of 5 stars,Its ok,16 June 2018,Good,Helpful
Abhishek Guin,5.0 out of 5 stars,Five Stars,6 December 2017,Genuine and secure packaging,Helpful
Sherry,4.0 out of 5 stars,Four Stars,10 April 2018,Worth money,Helpful
Riya S.,5.0 out of 5 stars,Go for it if you have oily skin,23 August 2018,Perfect face wash for my oily face during the summer season.,Helpful
Lakshmy,3.0 out of 5 stars,Three Stars,16 June 2016,Did not like it too much..have not noticed anything very different after using it.,One person found this helpful
Amazon Customer,4.0 out of 5 stars,Good product by Himalaya,11 June 2018,Good product by Himalaya,Helpful
SSantanu Haldarr Amanush,5.0 out of 5 stars,Five Star,1 December 2017,Nice products. Worthy for money ?,Helpful
Sk Milon,4.0 out of 5 stars,Four Stars,15 March 2018,It's genuine product.,Helpful
prafulla watgure,1.0 out of 5 stars,Less effective,28 September 2017,Not good product. Less effective.,One person found this helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,18 April 2018,Very nice,Helpful
Irshad Ahemad S.R.,4.0 out of 5 stars,Good,20 June 2018,Good,Helpful
ANU,5.0 out of 5 stars,Nice,26 August 2018,Good,Helpful
Sarita Pundir,5.0 out of 5 stars,Five Stars,20 September 2017,It's very good I am using since last 10 years,Helpful
Pramod C.,5.0 out of 5 stars,Nice,6 September 2018,Nice,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,9 April 2018,very good,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,26 September 2017,himalaya no needs any cirtification,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,14 February 2018,Safe and securesurely buy,Helpful
Sanjeev Kumar Mahto,4.0 out of 5 stars,Four Stars,7 August 2017,Nice product,One person found this helpful
MADHAB KARMAKAR,5.0 out of 5 stars,Nice,13 June 2018,Good,Helpful
Zainulabedin,5.0 out of 5 stars,Five Stars,27 September 2017,Great product. Thanks amazon for on time delivery,Helpful
MOHIT PRAJAPATI,1.0 out of 5 stars,Damage product,1 May 2018,I got it in a damage condition....very badI don't expect this,Helpful
Amazon Customer,5.0 out of 5 stars,Amazing face wash..,30 November 2017,This is my all time favourite face washWorks well for all skin types and have really good control on acne .. I have mild acne .. using this face wash has helped me a lot ?,Helpful
Sri krishna,5.0 out of 5 stars,Five Stars,29 April 2018,Great product better than any face wash in market,Helpful
lokesh kumar,5.0 out of 5 stars,Five Stars,22 April 2018,nice,Helpful
RAkesh,3.0 out of 5 stars,Three Stars,27 May 2018,Ok,Helpful
Partho,5.0 out of 5 stars,No1 face wash for pimple cleaning,28 September 2018,Now my pimples are totally gone im sooooooo happy thanks himalya thanks Amazon totally satisfied for your awesome product,Helpful
Kaur Sheeba,4.0 out of 5 stars,Awesome Face Wash????,7 August 2018,Neem Face Wash Is Very Gud For My skin.. And I Like This Product.. And I Have Used This Product From Last 2 to 3 Months.. So its Amazing..,Helpful
deshbhushan chougule,5.0 out of 5 stars,Five Stars,9 May 2018,Sister loves it,Helpful
Jaseel,4.0 out of 5 stars,Four Stars,30 May 2018,Love it,Helpful
Lucky,4.0 out of 5 stars,Good,11 April 2018,It's help to clean my faceNice one Himalaya,Helpful
Dipanshu Wadhwa,4.0 out of 5 stars,Satisfied,4 October 2018,I have been using this for months. Satisfied with the product.,Helpful
pramod prabhakar,4.0 out of 5 stars,Four Stars,5 May 2018,Really this is a good product and I got this at low price.,Helpful
